!Family,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
! Supply Name,VCCINT,VCC_RAM,VCC_AIE,VCCAUX,VCC_IO_SOC,VCC_MMD,VCC_LPD,VCCAUX_LPD,VCC_FPD,VCCO_500,VCCO_501,VCCO_502,VCCO_503,VCC_MIPI_507,VCCIO_MIPI_507,VCC_USB2_504,VCC_PAUX_USB3_504,VCCIO_VCCREG_USB2_504,VCCIO_PAUX_504,VCCIO_USB3_504,VCCO_700-705,VCCO_706-709,VCCO_710-715,VCCO_400-402,GTYP_MMI_AVCC_RS,GTYP_MMI_AVTT_RS,GTYP_MMI_AVCCAUX_RS,GTYP_AVCC,GTYP_AVTT,GTYP_AVCCAUX,LP5_VDDQ_0V5,DDR5_VDDQ_1V1,Comments
! Supply Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
! Supply Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
! Supply Diags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FT Name,VCCINT,VCC_RAM,VCC_AIE,VCCAUX,VCC_IO_SOC,VCC_MMD,VCC_LPD,VCCAUX_LPD,VCC_FPD,VCCO_500,VCCO_501,VCCO_502,VCCO_503,VCC_MIPI_507,VCCIO_MIPI_507,VCC_USB2_504,VCC_PAUX_USB3_504,VCCIO_VCCREG_USB2_504,VCCIO_PAUX_504,VCCIO_USB3_504,VCCO_700-705,VCCO_706-709,VCCO_710-715,VCCO_400-402,GTYP_MMI_AVCC_RS,GTYP_MMI_AVTT_RS,GTYP_MMI_AVCCAUX_RS,GTYP_AVCC,GTYP_AVTT,GTYP_AVCCAUX,LP5_VDDQ_0V5,DDR5_VDDQ_1V1,Comments
# PowerUp Seq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,R1,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Cond#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Start#,Stop#,Blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,1,1,Default level if Cond# not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cond#,VCCINT,VCC_RAM,VCC_AIE,VCCAUX,VCC_IO_SOC,VCC_MMD,VCC_LPD,VCCAUX_LPD,VCC_FPD,VCCO_500,VCCO_501,VCCO_502,VCCO_503,VCC_MIPI_507,VCCIO_MIPI_507,VCC_USB2_504,VCC_PAUX_USB3_504,VCCIO_VCCREG_USB2_504,VCCIO_PAUX_504,VCCIO_USB3_504,VCCO_700-705,VCCO_706-709,VCCO_710-715,VCCO_400-402,GTYP_MMI_AVCC_RS,GTYP_MMI_AVTT_RS,GTYP_MMI_AVCCAUX_RS,GTYP_AVCC,GTYP_AVTT,GTYP_AVCCAUX,LP5_VDDQ_0V5,DDR5_VDDQ_1V1,Comments
1,0.676,0.76,0.676,1.455,0.76,0.76,0.676,1.455,0.676,3.135,3.135,3.135,3.135,0.76,1.14,0.76,0.76,3.135,1.71,1.14,0.95,1.045,1.045,3.135,0.854,1.14,1.455,0.854,1.14,1.455,N/A,N/A,#LPMin
2,0.76,0.76,0.76,1.455,0.76,0.76,0.76,1.455,0.76,3.135,3.135,3.135,3.135,0.76,1.14,0.76,0.76,3.135,1.71,1.14,0.95,1.045,1.045,3.135,0.854,1.14,1.455,0.854,1.14,1.455,N/A,N/A,#MPMin
3,0.76,0.76,0.76,1.455,0.76,0.836,0.836,1.455,0.836,3.135,3.135,3.135,3.135,0.76,1.14,0.76,0.76,3.135,1.71,1.14,0.95,1.045,1.045,3.135,0.854,1.14,1.455,0.854,1.14,1.455,N/A,N/A,#MHPMin
4,0.84,0.84,0.84,1.545,0.84,0.924,0.924,1.545,0.924,3.4,3.4,3.4,3.4,0.84,1.26,0.84,0.84,3.4,1.89,1.26,1.05,1.155,1.155,3.4,0.948,1.26,1.545,0.948,1.26,1.545,N/A,N/A,#MHPMax
5,0.676,0.76,0.676,1.455,0.76,0.836,0.836,1.455,0.836,3.135,3.135,3.135,3.135,0.76,1.14,0.76,0.76,3.135,1.71,1.14,0.95,1.045,1.045,3.135,0.854,1.14,1.455,0.854,1.14,1.455,N/A,N/A,#LHPMin
6,0.676,0.76,0.676,1.455,0.76,0.665,0.676,1.455,0.676,3.135,3.135,3.135,3.135,0.76,1.14,0.76,0.76,3.135,1.71,1.14,0.95,1.045,1.045,3.135,0.854,1.14,1.455,0.854,1.14,1.455,N/A,N/A,#LPMin-MMDL
7,0.76,0.76,0.76,1.455,0.76,0.665,0.76,1.455,0.76,3.135,3.135,3.135,3.135,0.76,1.14,0.76,0.76,3.135,1.71,1.14,0.95,1.045,1.045,3.135,0.854,1.14,1.455,0.854,1.14,1.455,N/A,N/A,#MPMin-MMDL
8,0.84,0.84,0.84,1.545,0.84,0.665,0.924,1.545,0.924,3.4,3.4,3.4,3.4,0.84,1.26,0.84,0.84,3.4,1.89,1.26,1.05,1.155,1.155,3.4,0.948,1.26,1.545,0.948,1.26,1.545,N/A,N/A,#MHPMax-MMDL
9,0.676,0.76,0.676,1.455,0.76,0.76,0.676,1.455,0.676,3.135,3.135,3.135,3.135,0.76,1.14,0.76,0.76,3.135,1.71,1.14,0.95,1.045,1.045,3.135,0.854,1.14,1.455,0.854,1.14,1.455,0.475,1.045,#LPMin-DDR
10,0.84,0.84,0.84,1.545,0.84,0.924,0.924,1.545,0.924,3.4,3.4,3.4,3.4,0.84,1.26,0.84,0.84,3.4,1.89,1.26,1.05,1.155,1.155,3.4,0.948,1.26,1.545,0.948,1.26,1.545,0.525,1.155,#MHPMax-DDR
